                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.63264,                0.48512,                0.96966,                0.95408,                 0.9423,                0.97947,                0.87774,                0.49983,                0.33509,                0.89305,               0.003565,               0.003565,               0.003565
                     67,                0.62915,                0.48083,                 0.9705,                0.94988,                0.94945,                 0.9801,                0.87759,                0.50168,                0.33206,                0.89345,               0.003466,               0.003466,               0.003466
                     68,                0.62728,                0.47627,                0.96849,                0.95696,                0.94321,                0.97975,                0.87817,                0.50235,                0.33332,                0.89322,               0.003367,               0.003367,               0.003367
                     69,                 0.6181,                0.47589,                0.96502,                0.95725,                0.94777,                0.98083,                0.88117,                 0.4982,                0.32873,                0.89063,               0.003268,               0.003268,               0.003268
                     70,                0.62476,                0.47071,                0.96515,                0.95236,                0.94897,                0.98098,                0.88061,                0.49966,                0.32704,                0.89178,               0.003169,               0.003169,               0.003169
                     71,                0.61532,                0.46312,                0.96368,                 0.9525,                0.94595,                0.98047,                0.87915,                0.50193,                 0.3289,                 0.8927,                0.00307,                0.00307,                0.00307
                     72,                0.61215,                 0.4558,                0.96359,                0.94757,                0.95048,                0.97998,                0.88009,                0.50034,                0.32886,                0.89185,               0.002971,               0.002971,               0.002971
                     73,                0.60485,                0.45824,                0.96298,                0.95451,                0.94564,                0.98104,                0.88175,                0.49639,                0.32394,                0.89001,               0.002872,               0.002872,               0.002872
                     74,                0.59899,                0.45706,                0.95765,                0.94894,                 0.9505,                0.98066,                0.88231,                0.49584,                0.32465,                0.88956,               0.002773,               0.002773,               0.002773
                     75,                0.60059,                0.45254,                0.95491,                0.95578,                0.94844,                0.98072,                0.88367,                0.49193,                0.32177,                0.88772,               0.002674,               0.002674,               0.002674
                     76,                0.60219,                0.44884,                0.95583,                0.95477,                0.94947,                 0.9808,                0.88255,                0.49461,                0.32189,                 0.8884,               0.002575,               0.002575,               0.002575
                     77,                0.59656,                0.43996,                0.95452,                0.95661,                0.94975,                0.98121,                0.88319,                0.49499,                0.31986,                0.88822,               0.002476,               0.002476,               0.002476
                     78,                0.59627,                0.44191,                0.95309,                0.95833,                0.94721,                0.98159,                0.88387,                0.49293,                0.31682,                0.88783,               0.002377,               0.002377,               0.002377
                     79,                0.58548,                0.42757,                0.94935,                0.95955,                0.94704,                0.98172,                 0.8844,                0.49312,                0.31503,                0.88821,               0.002278,               0.002278,               0.002278
                     80,                 0.5911,                0.44018,                0.95612,                0.96163,                0.94276,                0.98154,                0.88413,                 0.4933,                0.31539,                0.88826,               0.002179,               0.002179,               0.002179
