,folder,number_of_images,model,mean,sd
155,5_classes_a,1000.0,yolov8l,0.9596,0.014656056768449022
156,5_classes_a,1000.0,yolov8m,0.9730000000000001,0.010074720839804952
157,5_classes_a,1000.0,yolov8n,0.9827999999999999,0.0074632432628181445
158,5_classes_a,1000.0,yolov8s,0.9843999999999999,0.006268971207463042
159,5_classes_a,1000.0,yolov8x,0.9676,0.011674759098157045
160,5_classes_b,10.0,yolov8l,0.3514,0.16650615604235175
161,5_classes_b,10.0,yolov8m,0.7654,0.3103953930070483
162,5_classes_b,10.0,yolov8n,0.7032,0.28019939328984994
163,5_classes_b,10.0,yolov8s,0.776,0.22653476554383442
164,5_classes_b,10.0,yolov8x,0.37239999999999995,0.13718709851877472
165,5_classes_b,20.0,yolov8l,0.5536,0.17893797808179232
166,5_classes_b,20.0,yolov8m,0.806,0.13887584383181975
167,5_classes_b,20.0,yolov8n,0.8894,0.08951983020537964
168,5_classes_b,20.0,yolov8s,0.8842000000000001,0.09259157629071876
169,5_classes_b,20.0,yolov8x,0.5242,0.1359161506223598
170,5_classes_b,50.0,yolov8l,0.5492,0.06237547595008792
171,5_classes_b,50.0,yolov8m,0.6986,0.026875639527274515
172,5_classes_b,50.0,yolov8n,0.7898,0.04525704365068494
173,5_classes_b,50.0,yolov8s,0.8368,0.07189367148782984
174,5_classes_b,50.0,yolov8x,0.5128,0.05632672545071302
175,5_classes_b,100.0,yolov8l,0.526,0.11097747519204065
176,5_classes_b,100.0,yolov8m,0.736,0.011202678251204062
177,5_classes_b,100.0,yolov8n,0.7938,0.030028319966325153
178,5_classes_b,100.0,yolov8s,0.8480000000000001,0.023043437243605802
179,5_classes_b,100.0,yolov8x,0.4666,0.23087724010824456
180,5_classes_b,250.0,yolov8l,0.9138,0.02976071235706563
181,5_classes_b,250.0,yolov8m,0.975,0.03915992849840258
182,5_classes_b,250.0,yolov8n,0.9772000000000001,0.03141973901864877
183,5_classes_b,250.0,yolov8s,0.9705999999999999,0.03310286996621283
184,5_classes_b,250.0,yolov8x,0.8526,0.04042647647272761
185,5_classes_b,500.0,yolov8l,0.9606,0.021904337470008032
186,5_classes_b,500.0,yolov8m,0.9616,0.0127397017233529
187,5_classes_b,500.0,yolov8n,0.9565999999999999,0.010830512453249895
188,5_classes_b,500.0,yolov8s,0.9523999999999999,0.00890505474435733
189,5_classes_b,500.0,yolov8x,0.8897999999999999,0.024813302883735584
190,5_classes_b,750.0,yolov8l,0.954,0.01930025906561874
191,5_classes_b,750.0,yolov8m,0.9501999999999999,0.008408329203831187
192,5_classes_b,750.0,yolov8n,0.9632,0.012214745187681961
193,5_classes_b,750.0,yolov8s,0.9677999999999999,0.010256705123966465
194,5_classes_b,750.0,yolov8x,0.8966000000000001,0.02457234217570642
195,5_classes_b,1000.0,yolov8l,0.9612,0.0154499190936393
196,5_classes_b,1000.0,yolov8m,0.9533999999999999,0.010807404868885042
197,5_classes_b,1000.0,yolov8n,0.9654,0.01411736519326465
198,5_classes_b,1000.0,yolov8s,0.9705999999999999,0.007231873892705841
199,5_classes_b,1000.0,yolov8x,0.9349999999999999,0.008573214099741064
