number_of_images,model,fold,mAP,folder
750,yolov8x,4,0.968,5_classes_a
750,yolov8x,5,0.978,5_classes_a
1000,yolov8n,1,0.979,5_classes_a
1000,yolov8n,2,0.974,5_classes_a
1000,yolov8n,3,0.98,5_classes_a
1000,yolov8n,4,0.992,5_classes_a
1000,yolov8n,5,0.989,5_classes_a
1000,yolov8s,1,0.981,5_classes_a
1000,yolov8s,2,0.976,5_classes_a
1000,yolov8s,3,0.991,5_classes_a
1000,yolov8s,4,0.984,5_classes_a
1000,yolov8s,5,0.99,5_classes_a
1000,yolov8m,1,0.965,5_classes_a
1000,yolov8m,2,0.963,5_classes_a
1000,yolov8m,3,0.97,5_classes_a
1000,yolov8m,4,0.986,5_classes_a
1000,yolov8m,5,0.981,5_classes_a
1000,yolov8l,1,0.971,5_classes_a
1000,yolov8l,2,0.961,5_classes_a
1000,yolov8l,3,0.949,5_classes_a
1000,yolov8l,4,0.941,5_classes_a
1000,yolov8l,5,0.976,5_classes_a
1000,yolov8x,1,0.972,5_classes_a
1000,yolov8x,2,0.954,5_classes_a
1000,yolov8x,3,0.965,5_classes_a
1000,yolov8x,4,0.962,5_classes_a
1000,yolov8x,5,0.985,5_classes_a
10,yolov8n,1,0.282,5_classes_b
10,yolov8n,2,0.563,5_classes_b
10,yolov8n,3,0.802,5_classes_b
10,yolov8n,4,0.924,5_classes_b
10,yolov8n,5,0.945,5_classes_b
10,yolov8s,1,0.407,5_classes_b
10,yolov8s,2,0.771,5_classes_b
10,yolov8s,3,0.786,5_classes_b
10,yolov8s,4,0.921,5_classes_b
10,yolov8s,5,0.995,5_classes_b
10,yolov8m,1,0.215,5_classes_b
10,yolov8m,2,0.847,5_classes_b
10,yolov8m,3,0.962,5_classes_b
10,yolov8m,4,0.908,5_classes_b
10,yolov8m,5,0.895,5_classes_b
10,yolov8l,1,0.177,5_classes_b
10,yolov8l,2,0.417,5_classes_b
10,yolov8l,3,0.383,5_classes_b
10,yolov8l,4,0.2,5_classes_b
10,yolov8l,5,0.58,5_classes_b
10,yolov8x,1,0.235,5_classes_b
10,yolov8x,2,0.288,5_classes_b
10,yolov8x,3,0.587,5_classes_b
10,yolov8x,4,0.336,5_classes_b
10,yolov8x,5,0.416,5_classes_b
20,yolov8n,1,0.758,5_classes_b
20,yolov8n,2,0.84,5_classes_b
20,yolov8n,3,0.979,5_classes_b
20,yolov8n,4,0.926,5_classes_b
20,yolov8n,5,0.944,5_classes_b
20,yolov8s,1,0.813,5_classes_b
20,yolov8s,2,0.767,5_classes_b
20,yolov8s,3,0.995,5_classes_b
20,yolov8s,4,0.913,5_classes_b
20,yolov8s,5,0.933,5_classes_b
20,yolov8m,1,0.736,5_classes_b
20,yolov8m,2,0.611,5_classes_b
20,yolov8m,3,0.945,5_classes_b
20,yolov8m,4,0.81,5_classes_b
20,yolov8m,5,0.928,5_classes_b
20,yolov8l,1,0.269,5_classes_b
20,yolov8l,2,0.605,5_classes_b
20,yolov8l,3,0.693,5_classes_b
20,yolov8l,4,0.702,5_classes_b
20,yolov8l,5,0.499,5_classes_b
20,yolov8x,1,0.457,5_classes_b
20,yolov8x,2,0.321,5_classes_b
20,yolov8x,3,0.611,5_classes_b
20,yolov8x,4,0.659,5_classes_b
20,yolov8x,5,0.573,5_classes_b
50,yolov8n,1,0.754,5_classes_b
50,yolov8n,2,0.756,5_classes_b
50,yolov8n,3,0.81,5_classes_b
50,yolov8n,4,0.769,5_classes_b
50,yolov8n,5,0.86,5_classes_b
50,yolov8s,1,0.811,5_classes_b
50,yolov8s,2,0.791,5_classes_b
50,yolov8s,3,0.862,5_classes_b
50,yolov8s,4,0.77,5_classes_b
