number_of_images,model,fold,class,mAP,augmented,keep
100,yolov8l,1,all,0.558,Yes,Yes
100,yolov8l,2,all,0.66,Yes,Yes
100,yolov8l,3,all,0.753,Yes,Yes
100,yolov8l,4,all,0.715,Yes,Yes
100,yolov8l,5,all,0.818,Yes,Yes
100,yolov8x,1,all,0.647,Yes,Yes
100,yolov8x,2,all,0.775,Yes,Yes
100,yolov8x,3,all,0.727,Yes,Yes
100,yolov8x,4,all,0.762,Yes,Yes
100,yolov8x,5,all,0.84,Yes,Yes
